puzzle_number,size,solved,valid,time,iterations,backtracks,solution
1,6,True,True,0.0030,23,0,"[[4, 3, 6, 1, 2, 5], [1, 5, 2, 3, 4, 6], [2, 4, 1, 6, 5, 3], [3, 6, 5, 2, 1, 4], [5, 2, 3, 4, 6, 1], [6, 1, 4, 5, 3, 2]]"
2,6,True,True,0.0039,25,0,"[[1, 3, 2, 4, 5, 6], [5, 4, 6, 1, 2, 3], [2, 1, 5, 3, 6, 4], [4, 6, 3, 5, 1, 2], [3, 2, 1, 6, 4, 5], [6, 5, 4, 2, 3, 1]]"
3,6,True,True,0.0039,25,0,"[[6, 1, 2, 3, 5, 4], [3, 4, 5, 1, 6, 2], [1, 2, 4, 6, 3, 5], [5, 3, 6, 4, 2, 1], [2, 6, 1, 5, 4, 3], [4, 5, 3, 2, 1, 6]]"
4,6,True,True,0.0037,25,0,"[[3, 2, 4, 5, 1, 6], [1, 5, 6, 3, 4, 2], [4, 3, 1, 2, 6, 5], [5, 6, 2, 1, 3, 4], [2, 4, 3, 6, 5, 1], [6, 1, 5, 4, 2, 3]]"
5,6,False,False,0.0000,0,0,
6,6,False,False,0.0000,0,0,
7,6,False,False,0.0000,0,0,
8,6,False,False,0.0000,0,0,
9,6,False,False,0.0000,0,0,
10,6,False,False,0.0000,0,0,
11,6,True,True,0.0048,33,0,"[[3, 1, 2, 4, 5, 6], [4, 5, 6, 3, 1, 2], [5, 3, 1, 6, 2, 4], [2, 6, 4, 1, 3, 5], [6, 2, 3, 5, 4, 1], [1, 4, 5, 2, 6, 3]]"
12,6,True,True,0.0077,33,0,"[[1, 2, 3, 4, 5, 6], [5, 4, 6, 1, 2, 3], [4, 1, 5, 3, 6, 2], [3, 6, 2, 5, 1, 4], [2, 3, 1, 6, 4, 5], [6, 5, 4, 2, 3, 1]]"
13,6,True,True,0.0051,33,0,"[[6, 2, 5, 3, 4, 1], [1, 3, 4, 5, 6, 2], [3, 5, 2, 6, 1, 4], [4, 6, 1, 2, 5, 3], [2, 4, 6, 1, 3, 5], [5, 1, 3, 4, 2, 6]]"
14,6,True,True,0.0073,35,0,"[[1, 3, 4, 2, 5, 6], [2, 6, 5, 1, 3, 4], [4, 2, 1, 3, 6, 5], [6, 5, 3, 4, 1, 2], [3, 4, 6, 5, 2, 1], [5, 1, 2, 6, 4, 3]]"
15,6,True,True,0.0076,37,0,"[[1, 2, 3, 4, 5, 6], [4, 5, 6, 1, 2, 3], [2, 3, 1, 5, 6, 4], [5, 6, 4, 2, 3, 1], [3, 1, 2, 6, 4, 5], [6, 4, 5, 3, 1, 2]]"
